"time","S","I"
0,99990,10
1,99984.465797584,12.2132569573041
2,99977.7072582457,14.9159055624295
3,99969.4539067674,18.2159374734367
4,99959.3756984804,22.2450680755435
5,99947.0700929431,27.1638549253788
6,99932.046030652,33.1680278789566
7,99913.7049381555,40.4959707283563
8,99891.3173817334,49.4378848959942
9,99863.9948834218,60.3468017524957
10,99830.6561912608,73.6516917914147
11,99789.9859740424,89.8734036308796
12,99740.3861676796,109.643278783715
13,99679.9173563668,133.725332970942
14,99606.2291071618,163.042253329513
15,99516.477980567,198.705439447624
16,99407.2314907682,242.049368565529
17,99274.3569871018,294.670108262655
18,99112.8949184767,358.467352905872
19,98916.9169549166,435.688610049897
20,98679.3712475557,528.972977047555
21,98391.9197497947,641.390287281821
22,98044.7764457588,776.469081130036
23,97626.5608251642,938.203775256187
24,97124.1882307466,1131.02755857743
25,96522.8278376251,1359.73310822721
26,95805.969547352,1629.31874814646
27,94955.6517148886,1944.73430128843
28,93952.9098302901,2310.50055541808
29,92778.507091856,2730.18207914839
30,91414.0017936219,3205.70666041804
31,89843.1642939935,3736.55680804336
32,88053.7149248103,4318.89615725484
33,86039.2646356081,4944.75067984176
34,83801.2453347224,5601.4166830497
35,81350.5254205103,6271.30170216763
36,78708.3561058058,6932.39213542936
37,75906.3257059485,7559.46286312302
38,72985.1291491775,8125.99883178419
39,69992.1800555086,8606.61515907905
40,66978.3449631361,8979.59982076852
41,63994.2831891503,9229.12622589037
42,61086.9588199293,9346.73170640229
43,58296.8258943512,9331.8221323957
44,55656.0042062416,9191.18548124081
45,53187.5315194849,8937.70195186341
46,50905.5732197921,8588.56538992979
47,48816.3411902404,8163.35911843162
48,46919.4310498743,7682.27586247741
49,45209.3147065868,7164.66640376282
50,43676.7903214719,6628.0126697038
51,42310.2606408967,6087.30884545173
52,41096.7873849509,5554.80166626208
53,40022.9067100055,5040.00266037308
54,39075.2263060322,4549.88572339884
55,38240.8362932721,4089.19329471585
56,37507.572029508,3660.79033117298
57,36864.1643513968,3266.02362473359
58,36300.307327927,2905.05788215148
59,35806.6692513916,2577.17372759635
60,35374.8656010286,2281.02080248014
61,34997.4083868228,2014.82544515815
62,34667.6421550068,1776.55591184289
63,34379.6737453659,1564.05001230549
64,34128.3006718744,1375.11079280933
65,33908.9412128306,1207.57587973189
66,33717.5681282004,1059.36568981718
67,33550.647063579,928.515079785835
68,33405.0801333784,813.192311876253
69,33278.1548001112,711.708529477409
70,33167.4979256923,622.520312669556
71,33071.0347274591,544.227341012411
72,32986.952291466,475.566732896204
73,32913.6672592751,415.405254787757
74,32849.7972962531,362.730291157982
75,32794.1359586887,316.640226501553
76,32745.6305971341,276.334704616552
77,32703.3629591333,241.105087355354
78,32666.5321829278,210.325326967167
79,32634.4399027108,183.443385631761
80,32606.4772142469,159.973276767881
81,32582.113276442,139.487760291219
82,32560.8853492955,121.611694229303
83,32542.3900914244,106.016024862841
84,32526.275960973,92.4123844148298
85,32512.2365822593,80.5482573618099
86,32500.0049571473,70.2026722467036
87,32489.3484144999,61.1823743135486
88,32480.0642045878,53.3184347671507
89,32471.9756581978,46.4632540664375
90,32464.9288362438,40.4879181154392
91,32458.7896080226,35.2798699333024
92,32453.4411052028,30.7408627285419
93,32448.7815022034,26.7851620851847
94,32444.7220814278,23.3379687589911
95,32441.1855470034,20.3340363337792
96,32438.1045551551,17.7164605985233
97,32435.4204334802,15.435620076411
98,32433.0820648818,13.4482493778254
99,32431.0449150292,11.7166291473827
100,32429.2701849187,10.2078782556388
